Year,Winning country,"Winner, ISO code","
Winning artist",Winning song,Winning points,Host city,Host nation,Host ISO country code
1956,Switzerland,CH,Lys Assia ,Refrain,The scores of the voting have never been made public http://www.eurovision.tv/page/history/by-year/contest?event=273,Lugano,Switzerland,CH
1957,Netherlands,NL,Corry Brokken,Net Als Toen,31,Frankfurt,Germany,DE
1958,France,FR,André Claveau,Dors Mon Amour,27,Hilversum,Netherlands,NL
1959,Netherlands,NL,Teddy Scholten,Een Beetje,21,Cannes,France,FR
1960,France,FR,Jacqueline Boyer,Tom Pillibi,32,London,UK,GB
1961,Luxembourg,LU,Jean-Claude PascalJean-Claude Pascal,Nous Les Amoureux,31,Cannes,France,FR
1962,France,FR,Isabelle Aubret,Un Premier Amour,26,Luxembourg,Luxembourg,LU
1963,Denmark,DK,Grethe & Jørgen Ingmann,Dansevise,42,London,UK,GB
1964,Italy,IT,Gigliola Cinquetti,Non Ho L’età,49,Copenhagen,Denmark,DK
1965,Luxembourg,LU,France Gall,"Poupée De Cire, Poupée De Son",32,Naples,Italy,IT
1966,Austria,AT,Udo Jürgens,Merci Chérie,31,Luxembourg,Luxembourg,LU
1967,United Kingdom,GB,Sandie Shaw,Puppet On A String,47,Vienna,Austria,AT
1968,Spain,ES,Massiel,"La, La, La ",29,London,UK,GB
1969,"Spain, UK, Netherlands , France","ES, GB, NL, FR"," 
  
Salomé, 
Lulu,
Lenny Kuhr, Frida Boccara","Vivo Cantando, Boom Bang-A-Bang, De Troubadour, Un Jour, Un Enfant",18,Madrid,Spain,ES
1970,Ireland ,IE,Dana ,All Kinds Of Everything,32,Amsterdam,Netherlands,NL
1971,Monaco,MC,Séverine,"Un Banc, Un Arbre, Une Rue",128,Dublin,Ireland,IE
1972,Luxembourg,LU,Vicky Leandros ,Après Toi,128,Edinburgh,Scotland,GB
1973,Luxembourg,LU,Anne-Marie David,Tu Te Reconnaîtras,129,Luxembourg,Luxembourg,LU
1974,Sweden,SE,"
ABBA",Waterloo,24,Brighton,UK,GB
1975,Netherlands,NL,"
Teach-In",Ding-A-Dong,152,Stockholm,Sweden,SE
1976,United Kingdom,GB,"
Brotherhood Of Man",Save Your Kisses For Me,164,The Hague,Netherlands,NL
1977,France,FR,Marie Myriam," 
L’oiseau Et L’enfant",136,London,UK,GB
1978,Israel,IL,Izhar Cohen & Alphabeta,"
A-Ba-Ni-Bi",157,Paris,France,FR
1979,Israel,IL,Gali Atari & Milk And Honey,Hallelujah,125,Jerusalem,Israel,IL
1980,Ireland,IE,Johnny Logan,What’s Another Year?,143,The Hague,Netherlands,NL
1981,United Kingdom,GB,Bucks Fizz,Making Your Mind Up,136,Dublin,Ireland,IE
1982,Germany,DE,Nicole,Ein Bißchen Frieden,161,Harrogate,UK,GB
1983,Luxembourg,LU,Corinne Hermès,Si La Vie Est Cadeau,142,Munich,Germany,DE
1984,Sweden,SE,The Herreys,Diggi-Loo Diggi-Ley,145,Luxembourg,Luxembourg,LU
1985,Norway,NO,Bobbysocks,La Det Swinge,123,Gothenburg,Sweden,SE
1986,Belgium,BE,Sandra Kim,"
J’aime La Vie",176,Bergen,Norway,NO
1987,"
Ireland ",IE,"
Johnny Logan",Hold Me Now,172,Brussels,Belgium,BE
1988,Switzerland,CH,Céline Dion,Ne Partez Pas Sans Moi,137,Dublin,Ireland,IE
1989,Yugoslavia,,Riva,Rock Me,137,Lausanne,Switzerland,CH
1990,Italy,IT,Toto Cutugno,Insieme: 1992,149,Zagreb,Croatia,HR
1991,Sweden,SE,Carola,Fångad Av En Stormvind,146,Rome,Italy,IT
1992,Ireland,IE,Linda Martin,Why Me,155,Malmo,Sweden,SE
1993,Ireland,IE,Niamh Kavanagh,In Your Eyes,187,Millstreet,Ireland,IE
1994,"
Ireland",IE,P. Harrington & C. McGettigan,Rock ‘n’ Roll Kids,226,Dublin,Ireland,IE
1995,Norway,NO,Secret Garden,Nocturne,148,Dublin,Ireland,IE
1996,Ireland,IE,Eimear Quinn,The Voice,162,Oslo,Norway,NO
1997,United Kingdom,GB,Katrina & The Waves,Love Shine A Light,227,Dublin,Ireland,IE
1998,Israel,IL,Dana International,"
Diva",172,Birmingham,UK,GB
1999,Sweden,SE,Charlotte Nilsson ,Take Me To Your Heaven,163,Jerusalem,Israel,IL
2000,Denmark,DK,The Olsen Brothers,Fly On The Wings Of Love,195,Stockholm,Sweden,SE
2001,Estonia,EE,"Tanel, Dave & 2XL",Everybody,198,Copenhagen,Denmark,DK
2002,Latvia,LV,Marie N ,I Wanna,176,Tallinn,Estonia,EE
2003,Turkey,TR,Sertab,Everyway That I Can,167,Riga,Latvia,LV
2004,Ukraine,UA,"
Ruslana",Wild Dances,280,Istanbul,Turkey,TR
2005,Greece,GR,Helena Paparizou,My Number One,230,Kiev,Ukraine,UA
2006,Finland,FI,Lordi,Hard Rock Hallelujah,292,Athens,Greece,GR
2007,Serbia,RS,"
Marija Šerifovic’",Molitva,268,Helsinki,Finland,FI
2008,Russia,RU,Dima Bilan,Believe,272,Belgrade,Serbia,RS
2009,Norway,NO,Alexander Rybak,Fairytale,387,Moscow,Russia,RU
2010,Germany,DE,Lena Meyer-Landrut,Satellite ,246,Oslo,Norway,NO
2011,Azerbaijan,AZ,Ell/Nikki ,Running Scared,221,Düsseldorf,Germany,DE