MP Name ,% Votes at which MP was absent in ,MP Name,Total Expenses for Jan Feb 2011 minus travel expenses
Jim_Murphy,38.5,Jim Murphy,17507.89
Jim_Shannon,30.8,Jim Shannon,3266.55
Jim_Sheridan,30.8,Jim Sheridan,12191.72
Jo_Johnson,9.6,Jo Johnson,1239.64
Jo_Swinson,15.4,Jo Swinson,7152.06
Joan_Ruddock,40.4,Joan Ruddock,4541.66
Joan_Walley,26.9,Joan Walley,7865.42
Joe_Benton,30.8,Joe Benton,3153.54
John_Baron,36.5,John Baron,2821.02
John_Bercow,100,John Bercow,398.94
John_Cryer,23.1,John Cryer,5250
John_Denham,26.9,John Denham,10178.69
John_Glen,26.9,John Glen,9114.4
John_Hayes,19.2,John Hayes,4818.98
John_Healey,26.9,John Healey,16805.7
John_Hemming,13.5,John Hemming,6166.25
John_Howell,5.8,John Howell,3792.26
John_Leech,36.5,John Leech,1116.05
John_Mann,32.7,John Mann,6511.06
John_McDonnell,30.8,John McDonnell,2786.3
John_Penrose,15.4,John Penrose,2510.11
John_Pugh,15.4,John Pugh,8267.08
John_Redwood,34.6,John Redwood,2334.24
John_Robertson,61.5,John Robertson,14851.53
John_Spellar,21.2,John Spellar,2399.08
John_Stanley,53.8,John Stanley,4623.58
John_Stevenson,11.5,John Stevenson,8171.81
John_Thurso,19.2,John Thurso,16081.23
John_Whittingdale,25,John Whittingdale,2560.88
John_Woodcock,25,John Woodcock,8355.87
Jon_Trickett,32.7,Jon Trickett,5382.21
Jonathan_Djanogly,9.6,Jonathan Djanogly,5008.42
Jonathan_Edwards,28.8,Jonathan Edwards,3439.47
Jonathan_Evans,5.8,Jonathan Evans,1534.23
Jonathan_Lord,13.5,Jonathan Lord,299.78
Jonathan_Reynolds,34.6,Jonathan Reynolds,5749.41
Julian_Brazier,13.5,Julian Brazier,6677.65
Julian_Huppert,5.8,Julian Huppert,10365.25
Julian_Lewis,30.8,Julian Lewis,4404.39
Julian_Smith,3.8,Julian Smith,1910.74
Julian_Sturdy,15.4,Julian Sturdy,6016.9
Julie_Elliott,25,Julie Elliott,5291.2
Julie_Hilling,32.7,Julie Hilling,8517.27
Justin_Tomlinson,3.8,Justin Tomlinson,2069.89
Justine_Greening,7.7,Justine Greening,2459.1
Karen_Bradley,3.8,Karen Bradley,6998.51
Karen_Buck,28.8,Karen Buck,5558.51
Karen_Lumley,7.7,Karen Lumley,4145.16
Karl_McCartney,9.6,Karl McCartney,9823.49
Karl_Turner,26.9,Karl Turner,8205.6
Kate_Green,19.2,Kate Green,6107.65
Kate_Hoey,46.2,Kate Hoey,266.4
Katy_Clark,21.2,Katy Clark,2976.01
Keith_Simpson,26.9,Keith Simpson,3605.91
Keith_Vaz,42.3,Keith Vaz,10577.53
Kelvin_Hopkins,25,Kelvin Hopkins,758.66
Kenneth_Clarke,17.3,Ken Clarke,3151.5
Kerry_McCarthy,19.2,Kerry McCarthy,7774.61
Kevan_Jones,26.9,Kevan Jones,10726.31
Kevin_Barron,28.8,Kevin Barron,5522.89
Kevin_Brennan,26.9,Kevin Brennan,7510.68
Khalid_Mahmood,48.1,Khalid Mahmood,6866.94
Kris_Hopkins,11.5,Kris Hopkins,7181.4
Kwasi_Kwarteng,19.2,Kwasi Kwarteng,897.45
Laurence_Robertson,19.2,Laurence Robertson,5763.96
Lee_Scott,7.7,Lee Scott,1067.21
Liam_Byrne,44.2,Liam Byrne,8305.68
Liam_Fox,42.3,Liam Fox,3236.5
Lilian_Greenwood,28.8,Lilian Greenwood,10098.89
Linda_Riordan,38.5,Linda Riordan,4207.25
Lindsay_Hoyle,100,Lindsay Hoyle,975.8
Lindsay_Roy,19.2,Lindsay Roy,10908.55
Lisa_Nandy,50,Lisa Nandy,10972.73
Liz_Kendall,26.9,Liz Kendall,9939.69
Lorely_Burt,25,Lorely Burt,7924.27
Lorraine_Fullbrook,7.7,Lorraine Fullbrook,8409.88
Louise_Bagshawe,36.5,Louise Bagshawe,6194.11
Louise_Ellman,36.5,Louise Ellman,6046.98999999999
Luciana_Berger,25,Luciana Berger,10361.67
Lyn_Brown,44.2,Lyn Brown,2459.4
Lynne_Featherstone,5.8,Lynne Featherstone,2582.76
Madeleine_Moon,57.7,Madeleine Moon,6730.18
Malcolm_Bruce,19.2,Malcolm Bruce,13302.09
Malcolm_Rifkind,23.1,Malcolm Rifkind,1388.67
Malcolm_Wicks,23.1,Malcolm Wicks,4593.78
Marcus_Jones,5.8,Marcus Jones,9014.67
Margaret_Beckett,32.7,Margaret Beckett,2519.87
Margaret_Curran,38.5,Margaret Curran,12102.52
Margaret_Hodge,42.3,Margaret Hodge,6110.7
Margaret_Ritchie,73.1,Margaret Ritchie,7497.41
Margot_James,17.3,Margot James,2452.04
Maria_Eagle,36.5,Maria Eagle,5533.61
Maria_Miller,13.5,Maria Miller,1230.27
Mark_Durkan,40.4,Mark Durkan,4361.32
Mark_Field,21.2,Mark Field,1315.99
Mark_Francois,15.4,Mark Francois,412.06
Mark_Garnier,32.7,Mark Garnier,11825.57
Mark_Harper,7.7,Mark Harper,1420
Mark_Hendrick,38.5,Mark Hendrick,16245.59
Mark_Hoban,15.4,Mark Hoban,3083.44
Mark_Hunter,21.2,Mark Hunter,9133.79
Mark_Lancaster,9.6,Mark Lancaster,4673.85
Mark_Lazarowicz,28.8,Mark Lazarowicz,5932.01
Mark_Menzies,7.7,Mark Menzies,10136.8
Mark_Pawsey,13.5,Mark Pawsey,10686.06
Mark_Prisk,36.5,Mark Prisk,5973.78
Mark_Pritchard,11.5,Mark Pritchard,11152.01
Mark_Reckless,15.4,Mark Reckless,3736.72
Mark_Simmonds,5.8,Mark Simmonds,6062.58
Mark_Spencer,13.5,Mark Spencer,4830.84
Mark_Tami,21.2,Mark Tami,8606.77
Mark_Williams,44.2,Mark Williams,5551.85
Marsha_Singh,59.6,Marsha Singh,4631.45
Martin_Caton,42.3,Martin Caton,3497.5
Martin_Horwood,21.2,Martin Horwood,7758.5
Martin_Vickers,11.5,Martin Vickers,4877.28
Mary_Creagh,36.5,Mary Creagh,9769.21
Mary_Glindon,26.9,Mary Glindon,7997.44
Mary_Macleod,23.1,Mary MacLeod,2724.09
Matthew_Hancock,3.8,Matthew Hancock,6734.66
Matthew_Offord,23.1,Matthew Offord,8432.84
Meg_Hillier,23.1,Meg Hillier,3269.27
Meg_Munn,34.6,Meg Munn,11820.01
Mel_Stride,7.7,Mel Stride,2950.41
Menzies_Campbell,7.7,Menzies Campbell,10005.63
Michael_Connarty,36.5,Michael Connarty,15714
Michael_Dugher,36.5,Michael Dugher,6010.81
Michael_Ellis,3.8,Michael Ellis,3388.73
Michael_Fabricant,9.6,Michael Fabricant,5545.38
Michael_Fallon,34.6,Michael Fallon,3609.42
Michael_Gove,28.8,Michael Gove,925.24
Michael_McCann,30.8,Michael McCann,17704.02
Michael_Meacher,59.6,Michael Meacher,5143.53
Michael_Moore,15.4,Michael Moore,11892.03
,,Mike Crockart,18318.6
Mike_Freer,5.8,Mike Freer,3041.62
Mike_Gapes,46.2,Mike Gapes,5265.25
Mike_Hancock,23.1,Mike Hancock,3511.66
,,Mike Penning,7460.87
Mike_Weatherley,1.9,Mike Weatherley,5003.63
Michael_Weir,34.6,Mike Weir,11597.37
Mike_Wood,55.8,Mike Wood,2847.19
Nadhim_Zahawi,5.8,Nadhim Zahawi,13238.35
Nadine_Dorries,15.4,Nadine Dorries,13801.91
Naomi_Long,28.8,Naomi Long,5064.41
Natascha_Engel,38.5,Natascha Engel,11531.74
Neil_Carmichael,30.8,Neil Carmichael,5846.84
Neil_Parish,13.5,Neil Parish,6854.86
Nia_Griffith,23.1,Nia Griffith,6550.96
Nick_Brown,25,Nicholas Brown,3570.37
Nicholas_Soames,21.2,Nicholas Soames,3055.4
Nicholas_Boles,3.8,Nick Boles,3092.9
Nicholas_Clegg,71.2,Nick Clegg,6679.55
Nicholas_Dakin,46.2,Nick Dakin,4416.77
Nick_de_Bois,5.8,Nick de Bois,8769.58
Nick_Gibb,5.8,Nick Gibb,7016.92
Nick_Harvey,28.8,Nick Harvey,10685.66
Nick_Hurd,30.8,Nick Hurd,2083.36
Nick_Raynsford,23.1,Nick Raynsford,4762.12
Nick_Smith,26.9,Nick Smith,10440.82
Nicky_Morgan,5.8,Nicky Morgan,10192.86
Nicola_Blackwood,13.5,Nicola Blackwood,3441.09
Nigel_Adams,13.5,Nigel Adams,5070.11
Nigel_Dodds,34.6,Nigel Dodds,3786
Nigel_Evans,100,Nigel Evans,6554.94
Nigel_Mills,7.7,Nigel Mills,4323.57
Norman_Baker,11.5,Norman Baker,6834.59
Norman_Lamb,17.3,Norman Lamb,5668.91
Oliver_Colvile,13.5,Oliver Colvile,7583.01
Oliver_Heald,7.7,Oliver Heald,3723.83
Oliver_Letwin,30.8,Oliver Letwin,828.65
Owen_Paterson,30.8,Owen Paterson,3944.64
Owen_Smith,28.8,Owen Smith,10389.13
Pamela_Nash,36.5,Pamela Nash,13279.85
Pat_Glass,46.2,Pat Glass,15042.64
Pat_McFadden,26.9,Pat McFadden,5043.57
Patrick_McLoughlin,15.4,Patrick McLoughlin,7698.93
Patrick_Mercer,17.3,Patrick Mercer,6311.68
Paul_Beresford,13.5,Paul Beresford,1083.85
Paul_Blomfield,25,Paul Blomfield,9106.58
Paul_Burstow,7.7,Paul Burstow,3254.73
Paul_Farrelly,36.5,Paul Farrelly,12962.93
Paul_Flynn,44.2,Paul Flynn,4414.21
Paul_Goggins,25,Paul Goggins,7040.91
Paul_Maynard,19.2,Paul Maynard,12005.13
Paul_Murphy,26.9,Paul Murphy,5115.21
Paul_Uppal,3.8,Paul Uppal,4846.82
Pauline_Latham,21.2,Pauline Latham,7789.43
Penny_Mordaunt,38.5,Penny Mordaunt,8164.5
Pete_Wishart,38.5,Pete Wishart,15719.04
Peter_Aldous,15.4,Peter Aldous,7854.4
Peter_Bone,7.7,Peter Bone,9574.33000000001
Peter_Hain,30.8,Peter Hain,11085.56
Peter_Lilley,15.4,Peter Lilley,3211.97
Peter_Luff,36.5,Peter Luff,5640.74
,,Peter Soulsby,7576.47
Peter_Tapsell,51.9,Peter Tapsell,7938.87
Phil_Wilson,19.2,Phil Wilson,16250.29
Philip_Davies,25,Philip Davies,6137.69
Philip_Dunne,7.7,Philip Dunne,4928.29
Philip_Hammond,13.5,Philip Hammond,12085.7
Philip_Hollobone,1.9,Philip Hollobone,1609.3
Phillip_Lee,3.8,Philip Lee,7121.3
Priti_Patel,25,Priti Patel,2453.28
Rachel_Reeves,25,Rachel Reeves,9791.5
Rebecca_Harris,1.9,Rebecca Harris,2827.85
Rehman_Chishti,9.6,Rehman Chishti,2340.69
Richard_Bacon,9.6,Richard Bacon,3828.72
Richard_Benyon,9.6,Richard Benyon,3311.89
Richard_Burden,25,Richard Burden,8640.15
Richard_Drax,34.6,Richard Drax,778.42
Richard_Fuller,25,Richard Fuller,5296.87
Richard_Graham,13.5,Richard Graham,5086.93
Richard_Harrington,5.8,Richard Harrington,8872.76
Richard_Ottaway,30.8,Richard Ottaway,4600.28
Richard_Shepherd,36.5,Richard Shepherd,2642.2
Rob_Wilson,3.8,Rob Wilson,3399.87
Robert_Buckland,3.8,Robert Buckland,5190.12
Robert_Flello,23.1,Robert Flello,9219.97
Robert_Goodwill,7.7,Robert Goodwill,8488.51999999999
Robert_Halfon,7.7,Robert Halfon,3365.01
Robert_Smith,48.1,Robert Smith,16758.13
Robert_Syms,5.8,Robert Syms,5768.93
Robert_Walter,19.2,Robert Walter,1652.8
Roberta_Blackman-Woods,23.1,Roberta Blackman-Woods,16244.17
Robin_Walker,7.7,Robin Walker,4083.34
Roger_Gale,44.2,Roger Gale,9023.45
Roger_Godsiff,88.5,Roger Godsiff,3032.92
Roger_Williams,17.3,Roger Williams,8554.95
Ronnie_Campbell,28.8,Ronnie Campbell,9548.09
Rory_Stewart,30.8,Rory Stewart,3340.74
Rosie_Cooper,26.9,Rosie Cooper,8999.22
Rosie_Winterton,30.8,Rosie Winterton,4573.45
Rushanara_Ali,23.1,Rushanara Ali,834.74
Russell_Brown,38.5,Russell Brown,12635.15
Sadiq_Khan,36.5,Sadiq Khan,1862.23
Sajid_Javid,9.6,Sajid Javid,2599
Sam_Gyimah,7.7,Sam Gyimah,793.34
Sammy_Wilson,73.1,Sammy Wilson,2630.46
Sandra_Osborne,55.8,Sandra Osborne,8933.28
Sarah_Newton,9.6,Sarah Newton,174.24
Sarah_Teather,23.1,Sarah Teather,4611.06
Sarah_Wollaston,15.4,Sarah Wollaston,8548.27
Shabana_Mahmood,30.8,Shabana Mahmood,6222.16
Shailesh_Vara,3.8,Shailesh Vara,4421.79
Sharon_Hodgson,19.2,Sharon Hodgson,13315.29
Shaun_Woodward,53.8,Shaun Woodward,21357.11
Sheila_Gilmore,21.2,Sheila Gilmore,9605.12
Sheryll_Murray,15.4,Sheryll Murray,7896.47999999999
Si%26acirc%3Bn_James,44.2,Siân James,14303.7
Simon_Burns,7.7,Simon Burns,1886.08
Simon_Danczuk,42.3,Simon Danczuk,4973.32
Simon_Hart,5.8,Simon Hart,14920.53
Simon_Hughes,23.1,Simon Hughes,6424.78
Simon_Kirby,3.8,Simon Kirby,7088.99
Simon_Reevell,32.7,Simon Reevell,7590.45
Simon_Wright,15.4,Simon Wright,2176.17
Siobhain_McDonagh,40.4,Siobhain McDonagh,2673.21
Stella_Creasy,23.1,Stella Creasy,1512.32
Stephen_Barclay,3.8,Stephen Barclay,10256.86
Stephen_Crabb,5.8,Stephen Crabb,10718.32
Stephen_Dorrell,17.3,Stephen Dorrell,4673.54
Stephen_Gilbert,5.8,Stephen Gilbert,4133.05
Stephen_Hammond,7.7,Stephen Hammond,1763.33
Stephen_Hepburn,23.1,Stephen Hepburn,8131.01
Stephen_Lloyd,15.4,Stephen Lloyd,13539.95
Stephen_McCabe,19.2,Stephen McCabe,7668.23
Stephen_McPartland,28.8,Stephen McPartland,3346.91
Stephen_Metcalfe,11.5,Stephen Metcalfe,4336.44
Stephen_Mosley,15.4,Stephen Mosley,6014.49
Stephen_O%26%2339%3BBrien,42.3,Stephen O'Brien,3191.64
Stephen_Phillips,3.8,Stephen Phillips,2161.85
Stephen_Pound,40.4,Stephen Pound,1221.27
Stephen_Timms,26.9,Stephen Timms,2172.47
Stephen_Twigg,26.9,Stephen Twigg,4382.67
Stephen_Williams,9.6,Stephen Williams,5913.25
Steve_Brine,15.4,Steve Brine,7271.5
Steve_Rotheram,19.2,Steve Rotheram,10267.35
Steve_Webb,19.2,Steve Webb,12248.66
Steven_Baker,23.1,Steve Baker,2343.49
Stewart_Hosie,34.6,Stewart Hosie,15002.58
Stewart_Jackson,7.7,Stewart Jackson,6690.65
Stuart_Andrew,15.4,Stuart Andrew,10952
Stuart_Bell,65.4,Stuart Bell,7542.76
Susan_Elan_Jones,25,Susan Jones,5741.59
Teresa_Pearce,25,Teresa Pearce,3478.57
Tessa_Jowell,40.4,Tessa Jowell,1851.06
Tessa_Munt,21.2,Tessa Munt,6951.38
Theresa_May,32.7,Theresa May,553.12
Theresa_Villiers,11.5,Theresa Villiers,4445.21
Therese_Coffey,5.8,Therese Coffey,3523.46
Thomas_Docherty,28.8,Thomas Docherty,11040.91
Tim_Farron,32.7,Tim Farron,6952.29
Tim_Loughton,9.6,Tim Loughton,11319.78
Tim_Yeo,30.8,Tim Yeo,3175.52
Tobias_Ellwood,28.8,Tobias Ellwood,3089.32
Toby_Perkins,42.3,Toby Perkins,6990.99
Tom_Blenkinsop,26.9,Tom Blenkinsop,5981.49
Tom_Brake,13.5,Tom Brake,5805.48
Tom_Clarke,34.6,Tom Clarke,7109.88999999999
Tom_Greatrex,50,Tom Greatrex,22188.68
Tom_Harris,32.7,Tom Harris,14863.99
Tom_Watson,36.5,Tom Watson,13859.14
Tony_Baldry,13.5,Tony Baldry,3131.17
Tony_Cunningham,21.2,Tony Cunningham,8766.29999999999
Tony_Lloyd,25,Tony Lloyd,7380.37
Tracey_Crouch,5.8,Tracey Crouch,2068.64
Tristram_Hunt,25,Tristram Hunt,6297.63
Valerie_Vaz,19.2,Valerie Vaz,8670.16999999999
Vernon_Coaker,21.2,Vernon Coaker,4928.98
Vincent_Cable,42.3,Vincent Cable,1146.82
Virendra_Sharma,59.6,Virendra Sharma,994.4
Wayne_David,21.2,Wayne David,8522.71
William_Hague,57.7,William Hague,3224.9
William_McCrea,44.2,William McCrea,9750.81
William_Bain,21.2,Willie Bain,11046.21
Yasmin_Qureshi,32.7,Yasmin Qureshi,11770.04
Yvette_Cooper,28.8,Yvette Cooper,5669.41
Yvonne_Fovargue,23.1,Yvonne Fovargue,16886.98
Zac_Goldsmith,19.2,,